"School District","Jurisdiction","Active Cases","Total Cases"
"Davis District","Davis County","173","5563"
"Alpine District","Utah County","132","4180"
"Canyons District","Salt Lake County","87","2616"
"Granite District","Salt Lake County","87","3184"
"Jordan District","Salt Lake County","82","3880"
"Nebo District","Utah County","56","1517"
"Cache District","Bear River","46","1279"
"Weber District","Weber-Morgan","34","1356"
"Salt Lake County - Charter","Salt Lake County","22","1164"
"Tooele District","Tooele County","20","291"
"Utah County - Charter","Utah County","19","548"
"Wasatch District","Wasatch County","19","711"
"Murray District","Salt Lake County","18","448"
"Sevier District","Central Utah","16","221"
"Davis County - Charter","Davis County","12","423"
"Salt Lake District","Salt Lake County","12","255"
"Provo District","Utah County","11","563"
"Salt Lake County - Private","Salt Lake County","11","522"
"Iron District","Southwest Utah","8","116"
"Bear River - Charter","Bear River","7","122"
"Park City District","Summit County","7","285"
"Washington District","Southwest Utah","6","399"
"Box Elder District","Bear River","5","585"
"Logan City District","Bear River","5","314"
"Tooele County - Charter/Private","Tooele County","5","47"
"Carbon District","Southeast Utah","<5","55"
"South Summit District","Summit County","<5","70"
"Weber-Morgan - Charter","Weber-Morgan","<5","290"
"Beaver District","Southwest Utah","<5","29"
"Duchesne District","TriCounty","<5","41"
"Juab District","Central Utah","<5","114"
"Ogden City District","Weber-Morgan","<5","526"
"South Sanpete District","Central Utah","<5","198"
"Uintah District","TriCounty","<5","94"
"Emery District","Southeast Utah","<5","45"
"Kane District","Southwest Utah","<5","27"
"Morgan District","Weber-Morgan","<5","135"
"North Summit District","Summit County","<5","43"
"Southeast Utah - Charter","Southeast Utah","<5","9"
"Southwest Utah - Charter","Southwest Utah","<5","48"
"Summit County - Charter/Private","Summit County","<5","26"
"Utah County - Private","Utah County","<5","71"
"Bear River - Private","Bear River","0","19"
"Central Utah - Private","Central Utah","0","69"
"Daggett District","TriCounty","0","6"
"Davis County - Private","Davis County","0","94"
"Garfield District","Southwest Utah","0","20"
"Grand District","Southeast Utah","0","26"
"Millard District","Central Utah","0","208"
"North Sanpete District","Central Utah","0","93"
"Piute District","Central Utah","0","15"
"Rich District","Bear River","0","30"
"San Juan District","San Juan","0","31"
"Southwest Utah - Private","Southwest Utah","0","7"
"Tintic District","Central Utah","0","6"
"TriCounty - Charter/Private","TriCounty","0","7"
"Wasatch County - Charter/Private","Wasatch County","0","41"
"Wayne District","Central Utah","0","12"
"Weber-Morgan - Private","Weber-Morgan","0","45"
